Date,CallsOffered,CallsHandled,CallsAbandoned,AverageSpeedofAnswer,ServiceLevel,BI_ID
2024-07-31,1252,1181,57,45.65622354,0.761206194,1
2024-07-30,1380,1288,78,57.95962733,0.740768095,2
2024-07-29,1563,1426,116,73.44950912,0.670634921,3
2024-07-28,359,345,12,32.05217391,0.849431818,4
2024-07-27,516,494,21,29.65991903,0.811764706,5
2024-07-26,1337,1219,104,79.75225595,0.664092664,6
2024-07-25,1411,1251,129,133.1063149,0.591240876,7
2024-07-24,1515,1369,119,97.36157779,0.639891082,8
2024-07-23,1692,1409,243,235.2995032,0.424734541,9
2024-07-22,1683,1426,201,214.6065919,0.452012384,10
2024-07-21,369,344,23,35.875,0.783333333,11
2024-07-20,592,568,16,38.75,0.813356164,12
2024-07-19,1510,1306,173,210.320827,0.541752933,13
2024-07-18,1292,1159,118,95.57377049,0.60415004,14
2024-07-17,1354,1294,42,39.82148377,0.798798799,15
2024-07-16,1310,1244,56,48.20257235,0.767369243,16
2024-07-15,1514,1372,125,87.70262391,0.618268575,17
2024-07-14,379,372,7,15.66666667,0.914893617,18
2024-07-13,467,445,22,23.66516854,0.881057269,19
2024-07-12,1188,1049,113,109.2249762,0.600697472,20
2024-07-11,1290,1183,89,72.92476754,0.684713376,21
2024-07-10,1356,1271,75,48.80723839,0.768181818,22
2024-07-09,1326,1162,143,129.3829604,0.562255286,23
2024-07-08,1357,1168,164,153.6875,0.487278335,24
2024-07-07,413,381,32,53.52493438,0.731343284,25
2024-07-06,570,534,28,29.35393258,0.829136691,26
2024-07-05,1327,1220,88,57.6057377,0.72960373,27
2024-07-04,1557,1467,72,49.75051125,0.75832789,28
2024-07-03,1745,1701,37,20.38036449,0.888115942,29
2024-07-02,1854,1676,150,133.3412888,0.596432553,30
2024-07-01,533,519,6,6.065510597,0.931688805,31
2024-06-30,377,369,7,18.24390244,0.897849462,32
2024-06-29,489,476,8,20.72058824,0.878850103,33
2024-06-28,1559,1441,82,61.79458709,0.67235719,34
2024-06-27,1607,1511,78,51.48908008,0.751750477,35
2024-06-26,1576,1455,91,62.86460481,0.725680934,36
2024-06-25,1497,1388,95,56.60302594,0.745879121,37
2024-06-24,1572,1441,103,84.9611381,0.64248366,38
2024-06-23,374,317,56,78.88328076,0.652661064,39
2024-06-22,475,448,21,43.39955357,0.803837953,40
2024-06-21,1344,1257,73,30.48687351,0.798158097,41
2024-06-20,1492,1399,69,42.42959257,0.765913758,42
2024-06-19,1323,1247,64,45.97995188,0.777607362,43
2024-06-18,1389,1305,60,49.25210728,0.764144012,44
2024-06-17,1594,1504,66,50.98470745,0.746649649,45
2024-06-16,274,272,1,7.305147059,0.948717949,46
2024-06-15,482,459,22,26.05664488,0.820295983,47
2024-06-14,1512,1459,44,29.70253598,0.82740094,48
2024-06-13,1440,1386,41,30.68037518,0.809992963,49
2024-06-12,1411,1343,54,46.20476545,0.762834418,50
2024-06-11,1505,1409,81,56.22001419,0.716519375,51
2024-06-10,1503,1423,69,54.40196767,0.717288136,52
2024-06-09,405,380,24,35.77105263,0.79389313,53
2024-06-08,525,501,19,27.85828343,0.83908046,54
2024-06-07,1378,1262,95,59.24405705,0.722470238,55
2024-06-06,1426,1379,36,34.94996374,0.823027719,56
2024-06-05,1485,1422,55,33.07805907,0.809458533,57
2024-06-04,1564,1494,58,35.04953146,0.799089727,58
2024-06-03,1765,1669,81,58.47513481,0.715442452,59
2024-06-02,344,338,6,16.4852071,0.908823529,60
2024-06-01,460,446,14,30.47533632,0.82781457,61
2024-05-31,1227,1153,58,72.10667823,0.756869276,62
2024-05-30,1330,1182,122,127.357868,0.568535826,63
2024-05-29,1574,1376,158,146.2180233,0.524850895,64
2024-05-28,1540,1445,77,56.64221453,0.731869594,65
2024-05-27,1589,1418,134,134.3265162,0.611901682,66
2024-05-26,305,300,7,9.64,0.937293729,67
2024-05-25,443,421,20,25.58432304,0.850230415,68
2024-05-24,1281,1186,76,87.84317032,0.668534828,69
